**Bảng giá phòng làm việc POD**

| **Loại Phòng**                              | **Giá (VNĐ/giờ)** | **Tiện ích**                                                            |
| ------------------------------------------- | ----------------- | ----------------------------------------------------------------------- |
| **POD Cá Nhân** (Solo Pod)                  | 25.000            | Bàn làm việc, Wi-Fi, cổng sạc USB, cách âm                              |
| **POD Đôi** (Duo Pod)                       | 40.000            | Bàn đôi, Wi-Fi, màn hình mở rộng, cách âm                               |
| **POD Nhóm** (Team Pod, 3-5 người)          | 70.000            | Bàn họp, màn hình lớn, máy chiếu mini, bảng trắng                       |
| **POD Họp Nhỏ** (Meeting Pod, 4-6 người)    | 100.000           | Bàn họp, micro hội nghị, camera HD, bảng điện tử                        |
| **POD Hội Nghị** (Conference Pod, 10 người) | 150.000           | Bàn họp lớn, màn hình 4K, hệ thống âm thanh, micro đa hướng, Wi-Fi mạnh |
| **POD Công Nghệ** (Tech Pod)                | 90.000            | Màn hình cảm ứng, PC cao cấp, Wi-Fi mạnh                                |
| **POD AI** (AI Workstation)                 | 80.000            | Trợ lý ảo AI, màn hình kép, điều khiển giọng nói                        |
| **POD Họp Ảo** (Holo Pod)                   | 120.000           | Công nghệ Hologram, camera 360°, micro không dây                        |
| **POD Giải Trí** (Gaming Pod)               | 100.000           | PC gaming, PS5/Xbox, màn hình 4K, ghế gaming                            |
| **POD Xem Phim** (Cinema Pod)               | 120.000           | Màn hình 4K, âm thanh vòm, ghế thư giãn                                 |
| **POD Thu Âm** (Music Pod)                  | 150.000           | Micro thu âm, loa chống ồn, bàn mix nhạc                                |
| **POD Thư Giãn** (Relax Pod)                | 80.000            | Ghế massage, nhạc thư giãn, hệ thống ánh sáng thông minh                |
| **POD Karaoke** (Luxury Karaoke Pod)        | 200.000           | Hệ thống âm thanh cao cấp, màn hình lớn, micro không dây, đèn LED RGB  |

